difficulty_label,N,MV_Accuracy,Fixed_Accuracy,Adaptive_Accuracy,Adaptive_Tau,Pilot_Agreement,Pilot_Entropy,MV_Tokens,Fixed_Tokens,Adaptive_Tokens,Fixed_Regen_Tokens,Adaptive_Regen_Tokens,Fixed_vs_MV_x,Adaptive_vs_MV_x,Adaptive_extra_tokens,Fixed_extra_tokens,Fixed_minus_MV_pp,Adaptive_minus_MV_pp,Adaptive_minus_Fixed_pp
easy,64,89.0625,89.0625,87.5,0.45,1.0,0.0,2209.171875,3781.859375,4118.140625,1572.6875,1908.96875,1.7118900606137764,1.8641105617913953,1908.96875,1572.6875,0.0,-1.5625,-1.5625
hard,23,17.391304347826086,21.73913043478261,13.043478260869565,0.9,0.25,2.0,3701.5652173913045,5767.260869565217,5128.173913043478,2065.695652173913,1426.608695652174,1.5580600451043036,1.3854068784063145,1426.6086956521735,2065.6956521739125,4.347826086956523,-4.3478260869565215,-8.695652173913045
medium,63,53.96825396825397,55.55555555555556,55.55555555555556,0.75,0.623015873015873,1.1134860612417956,2730.809523809524,4486.587301587301,2730.809523809524,1755.7777777777778,0.0,1.6429513894943646,1.0,0.0,1755.7777777777774,1.5873015873015888,1.5873015873015888,0.0
